facility_id,facility_status,name,city,province,beluga_present,beluga_count,beluga_count_year,tank_size,shows_with_beluga,close_contact_programs,welfare_flags,detail_url,info_source_primary,info_source_update,last_checked_date
1,营业中,阜阳尧泰汉海海洋馆,阜阳,安徽,0,0,2024,,NA,,,,CCA_2024_report,,11/30/25
2,营业中,合肥尧泰海洋世界,合肥,安徽,0,0,2024,,NA,,,,CCA_2024_report,,
3,营业中,芜湖新华联大白鲸海洋公园,芜湖,安徽,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
4,营业中,北京海洋馆,北京,北京,1,1,2024,20m * 5m * 5m,白鲸表演,,,,CCA_2024_report,,
5,营业中,重庆乐和乐都主题公园,重庆,重庆,0,0,2024,,NA,,,,CCA_2024_report,,
6,营业中,重庆融创海世界,重庆,重庆,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
7,营业中,重庆汉海极地海洋世界,重庆,重庆,0,0,2024,,NA,,,,CCA_2024_report,,
8,在建中,福州海昌海洋公园,福州,福建,0,0,2024,,NA,,,,CCA_2024_report,,
9,营业中,福州罗源湾海洋世界,福州,福建,1,6,2024,,白鲸表演,,,,CCA_2024_report,,
10,营业中,福州永泰欧乐堡海洋世界,福州,福建,1,7,2024,,白鲸表演,,,,CCA_2024_report,,
11,营业中,泉州欧乐堡海洋王国乐园,泉州,福建,1,4,2024,,白鲸表演,,,,CCA_2024_report,,
12,营业中,泉州海洋公园,泉州,福建,1,1,2024,,白鲸表演,,,,CCA_2024_report,,
13,营业中,泉州石狮海洋世界,泉州,福建,0,0,2024,,NA,,,,CCA_2024_report,,
14,营业中,武夷山添宏极地海洋公园,武夷山,福建,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
15,在建中,厦门海昌极地海洋世界,厦门,福建,0,0,2024,,NA,,,,CCA_2024_report,,
16,研究机构,厦门白海豚繁育救助中心,厦门,福建,0,0,2024,,NA,,,,CCA_2024_report,,
17,在建中,漳州东山极地海洋世界,漳州,福建,0,0,2024,,NA,,,,CCA_2024_report,,
18,营业中,漳州长泰天柱山欢乐大世界,漳州,福建,0,0,2024,,NA,,,,CCA_2024_report,,
19,营业中,兰州海德堡极地海洋世界,兰州,甘肃,0,0,2024,,NA,,,,CCA_2024_report,,
20,营业中,兰州海洋公园,兰州,甘肃,0,0,2024,,NA,,,,CCA_2024_report,,
21,营业中,东莞海之韵极地海洋公园,东莞,广东,0,0,2024,,NA,,,,CCA_2024_report,,
22,营业中,东莞香市动物园,东莞,广东,0,0,2024,,NA,,,,CCA_2024_report,,
23,营业中,广州海洋馆,广州,广东,1,2,2024,20m * 6m * 5m,白鲸表演,,,,CCA_2024_report,,
24,营业中,广州正佳极地海洋世界,广州,广东,1,7,2024,,白鲸表演,,,,CCA_2024_report,,
25,在建中,茂名海昌极地海洋世界,茂名,广东,0,0,2024,,NA,,,,CCA_2024_report,,
26,营业中,韶关云门山海洋公园,韶关,广东,0,0,2024,,NA,,,,CCA_2024_report,,
27,营业中,深圳市野生动物园,深圳,广东,0,0,2024,,NA,,,,CCA_2024_report,,
28,在建中,深圳小梅沙海洋世界,深圳,广东,0,0,2024,,NA,,,,CCA_2024_report,,
29,在建中,湛江鼎龙湾海洋王国,湛江,广东,0,0,2024,,NA,,,,CCA_2024_report,,
30,营业中,珠海长隆海洋王国/宇宙飞船,珠海,广东,1,22,2024,,白鲸表演,,,,CCA_2024_report,,
31,营业中,桂林融创海世界,桂林,广西,0,0,2024,,NA,,,,CCA_2024_report,,
32,营业中,南宁动物园,南宁,广西,0,0,2024,,NA,,,,CCA_2024_report,,
33,营业中,南宁极地海洋世界,南宁,广西,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
34,营业中,多彩贵州城极地海洋世界,贵州,贵州,1,1,2024,10m * 5m * 6m,白鲸表演,,,,CCA_2024_report,,
35,营业中,分界洲海洋文化公园,分界洲岛,海南,0,0,2024,,NA,,,,CCA_2024_report,,
36,营业中,三亚亚特兰蒂斯海豚湾,三亚,海南,1,2,2024,14m * 8m * 6m,白鲸表演,,,,CCA_2024_report,,
37,营业中,三亚海花岛童世界,三亚,海南,1,6,2024,,白鲸表演,,,,CCA_2024_report,,
38,营业中,三亚海昌梦幻不夜城,三亚,海南,0,0,2024,,NA,,,,CCA_2024_report,,
39,营业中,海南富力海洋欢乐世界,陵水,海南,1,1,2024,,白鲸表演,,,,CCA_2024_report,"author_update, 2025_11_30, on_site",
40,营业中,大白鲸三亚海洋探索世界,三亚,海南,0,0,2024,,NA,,,,CCA_2024_report,,
41,营业中,秦皇岛圣蓝皇家海洋公园,秦皇岛,河北,0,0,2024,,NA,,,,CCA_2024_report,,
42,营业中,秦皇岛新澳海底世界,秦皇岛,河北,0,0,2024,,NA,,,,CCA_2024_report,,
43,营业中,山海关乐岛海洋王国,秦皇岛,河北,1,4,2024,,白鲸表演,,,,CCA_2024_report,,
44,营业中,石家庄动物园极地海洋世界,石家庄,河北,1,3,2024,,白鲸表演,,,,CCA_2024_report,,
45,在建中,邢台海洋乐园,邢台,河北,0,0,2024,,NA,,,,CCA_2024_report,,
46,营业中,哈尔滨极地馆,哈尔滨,黑龙江,1,5,2024,15m * 6m * 6m,白鲸表演,,,,CCA_2024_report,,
47,营业中,哈尔滨波塞冬海洋王国,哈尔滨,黑龙江,0,0,2024,,NA,,,,CCA_2024_report,,
48,营业中,开封东京海洋馆,开封,河南,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
49,在建中,商丘极地海洋公园,商丘,河南,0,0,2024,,NA,,,,CCA_2024_report,,
50,营业中,洛阳中赫海豚湾海洋公园,洛阳,河南,0,0,2024,,NA,,,,CCA_2024_report,,
51,营业中,洛阳周口海洋馆,洛阳,河南,0,0,2024,,NA,,,,CCA_2024_report,,
52,营业中,郑州长乔海洋馆,郑州,河南,0,0,2024,,NA,,,,CCA_2024_report,,
53,营业中,郑州海昌海洋公园,郑州,河南,1,2,2024,,白鲸表演,,,,CCA_2024_report,,
54,营业中,郑州锦艺城海洋馆,郑州,河南,0,0,2024,,NA,,,,CCA_2024_report,,
55,营业中,荆州小梅沙海洋馆,荆州,湖北,1,3,2024,,白鲸表演,,,,CCA_2024_report,,
56,研究机构,武汉白鱀豚馆,武汉,湖北,0,0,2024,,NA,,,,CCA_2024_report,,
57,营业中,武汉极地海洋世界,武汉,湖北,1,6,2024,20m * 10m * 10m,白鲸表演,,,,CCA_2024_report,,
